GTP_Pixel Values,IOU Values,Filenames,type
"{""(107, 142, 35)"": ""81670"", ""(70, 130, 180)"": ""45577"", ""(153, 153, 153)"": ""166"", ""(220, 220, 0)"": ""6740"", ""(0, 0, 0)"": ""234"", ""(250, 170, 30)"": ""5572"", ""(70, 70, 70)"": ""1157"", ""(0, 0, 142)"": ""16049"", ""(128, 64, 128)"": ""133823"", ""(152, 251, 152)"": ""681"", ""(255, 0, 0)"": ""0"", ""(119, 11, 32)"": ""0"", ""(244, 35, 232)"": ""7604""}","{""(107, 142, 35)"": 0.4720809248554913, ""(70, 130, 180)"": 0.00448621318888977, ""(153, 153, 153)"": 0.007412344153838651, ""(220, 220, 0)"": 0.46763338652605285, ""(0, 0, 0)"": 0.06356245380635625, ""(250, 170, 30)"": 0.6351305140772826, ""(70, 70, 70)"": 0.4739860712822614, ""(0, 0, 142)"": 0.0, ""(128, 64, 128)"": 0.0012815008521655413, ""(152, 251, 152)"": 0.014263287732675487, ""(255, 0, 0)"": 0.07190412782956059, ""(119, 11, 32)"": 0.0, ""(244, 35, 232)"": 0.042654917536327434}",000010_10.png,ovseg
"{""(107, 142, 35)"": ""532"", ""(70, 130, 180)"": ""44571"", ""(153, 153, 153)"": ""165"", ""(220, 220, 0)"": ""6699"", ""(250, 170, 30)"": ""7871"", ""(70, 70, 70)"": ""1417"", ""(0, 0, 142)"": ""21051"", ""(0, 0, 0)"": ""151"", ""(152, 251, 152)"": ""656"", ""(244, 35, 232)"": ""0"", ""(128, 64, 128)"": ""130260""}","{""(107, 142, 35)"": 0.8812366154827539, ""(70, 130, 180)"": 0.8684579712404037, ""(153, 153, 153)"": 0.35780931302347785, ""(220, 220, 0)"": 0.041576403932677884, ""(250, 170, 30)"": 0.6911661397962768, ""(70, 70, 70)"": 0.5447904652056901, ""(0, 0, 142)"": 0.9432296800788601, ""(0, 0, 0)"": 0.4003663003663004, ""(152, 251, 152)"": 0.30783652043494564, ""(244, 35, 232)"": 0.0007503908285565399, ""(128, 64, 128)"": 0.0}",000011_10.png,ovseg
"{""(107, 142, 35)"": ""1121"", ""(70, 130, 180)"": ""47161"", ""(153, 153, 153)"": ""313"", ""(220, 220, 0)"": ""7407"", ""(250, 170, 30)"": ""122"", ""(70, 70, 70)"": ""1619"", ""(0, 0, 0)"": ""0"", ""(152, 251, 152)"": ""1712"", ""(128, 64, 128)"": ""95036"", ""(0, 0, 142)"": ""14325"", ""(244, 35, 232)"": ""31716""}","{""(107, 142, 35)"": 0.3365595928080983, ""(70, 130, 180)"": 0.0014464650037582824, ""(153, 153, 153)"": 0.003377863177478879, ""(220, 220, 0)"": 0.0, ""(250, 170, 30)"": 0.03130352296382177, ""(70, 70, 70)"": 0.023215067893123085, ""(0, 0, 0)"": 0.006073943661971831, ""(152, 251, 152)"": 0.0, ""(128, 64, 128)"": 0.0, ""(0, 0, 142)"": 0.0, ""(244, 35, 232)"": 0.0}",000012_10.png,ovseg
"{""(107, 142, 35)"": ""41441"", ""(153, 153, 153)"": ""7143"", ""(70, 130, 180)"": ""67578"", ""(220, 220, 0)"": ""7540"", ""(0, 0, 0)"": ""1189"", ""(250, 170, 30)"": ""2322"", ""(70, 70, 70)"": ""7943"", ""(190, 153, 153)"": ""57"", ""(0, 60, 100)"": ""0"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""44853"", ""(152, 251, 152)"": ""1371"", ""(220, 20, 60)"": ""460"", ""(128, 64, 128)"": ""143985"", ""(244, 35, 232)"": ""122"", ""(119, 11, 32)"": ""2430"", ""(81, 0, 81)"": 0}","{""(107, 142, 35)"": 0.5177521903471782, ""(153, 153, 153)"": 0.34594149554436265, ""(70, 130, 180)"": 0.8961767475168088, ""(220, 220, 0)"": 0.002465313610824447, ""(0, 0, 0)"": 0.011778290993071594, ""(250, 170, 30)"": 0.496790757381258, ""(70, 70, 70)"": 0.006042568542568543, ""(190, 153, 153)"": 0.025610809961505224, ""(0, 60, 100)"": 0.0, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.937523514903223, ""(152, 251, 152)"": 0.053590274791853965, ""(220, 20, 60)"": 0.0, ""(128, 64, 128)"": 0.8487579726718619, ""(244, 35, 232)"": 0.0, ""(119, 11, 32)"": 0.0046562585592988225, ""(81, 0, 81)"": 0.0}",000013_10.png,ovseg
"{""(70, 130, 180)"": ""66244"", ""(107, 142, 35)"": ""38927"", ""(153, 153, 153)"": ""340"", ""(220, 220, 0)"": ""1656"", ""(250, 170, 30)"": ""3670"", ""(0, 0, 0)"": ""6352"", ""(70, 70, 70)"": 0, ""(190, 153, 153)"": ""0"", ""(128, 64, 128)"": ""163843"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""13912"", ""(220, 20, 60)"": ""0"", ""(152, 251, 152)"": ""3552"", ""(244, 35, 232)"": ""879"", ""(81, 0, 81)"": 0, ""(119, 11, 32)"": ""2816""}","{""(70, 130, 180)"": 0.8825002664393051, ""(107, 142, 35)"": 0.453097587378218, ""(153, 153, 153)"": 0.005157593123209169, ""(220, 220, 0)"": 0.0454331818893937, ""(250, 170, 30)"": 0.00301140030114003, ""(0, 0, 0)"": 0.036186406729870474, ""(70, 70, 70)"": 0.0, ""(190, 153, 153)"": 0.0, ""(128, 64, 128)"": 0.0014889867328955557, ""(0, 0, 70)"": 0.7752100840336135, ""(0, 0, 142)"": 0.8108171115514629, ""(220, 20, 60)"": 0.31016042780748665, ""(152, 251, 152)"": 0.018644169568872344, ""(244, 35, 232)"": 0.07616846672640665, ""(81, 0, 81)"": 0.0027824682063738717, ""(119, 11, 32)"": 0.0}",000014_10.png,ovseg
"{""(70, 130, 180)"": ""63822"", ""(0, 0, 0)"": ""1018"", ""(107, 142, 35)"": ""68634"", ""(153, 153, 153)"": ""3490"", ""(70, 70, 70)"": ""0"", ""(250, 170, 30)"": ""1426"", ""(220, 220, 0)"": 0, ""(0, 60, 100)"": ""16110"", ""(0, 0, 70)"": ""0"", ""(0, 0, 142)"": ""9702"", ""(244, 35, 232)"": ""10"", ""(220, 20, 60)"": 0, ""(152, 251, 152)"": ""0"", ""(128, 64, 128)"": ""171390"", ""(190, 153, 153)"": ""0"", ""(119, 11, 32)"": ""0""}","{""(70, 130, 180)"": 0.8300537137952113, ""(0, 0, 0)"": 0.01313768761211558, ""(107, 142, 35)"": 0.5474733777370079, ""(153, 153, 153)"": 0.021162753553745407, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.0, ""(220, 220, 0)"": 0.0, ""(0, 60, 100)"": 0.7667777248929082, ""(0, 0, 70)"": 0.7349624060150376, ""(0, 0, 142)"": 0.19664549972390943, ""(244, 35, 232)"": 0.0009435030380797826, ""(220, 20, 60)"": 0.11713933415536375, ""(152, 251, 152)"": 0.06599123636381088, ""(128, 64, 128)"": 0.00092681607018473, ""(190, 153, 153)"": 0.0, ""(119, 11, 32)"": 0.0}",000015_10.png,ovseg
"{""(70, 130, 180)"": ""66029"", ""(0, 0, 0)"": ""1865"", ""(107, 142, 35)"": ""56867"", ""(153, 153, 153)"": ""701"", ""(70, 70, 70)"": ""0"", ""(250, 170, 30)"": ""0"", ""(220, 220, 0)"": ""0"", ""(0, 60, 100)"": ""17328"", ""(102, 102, 156)"": ""0"", ""(0, 0, 70)"": ""0"", ""(0, 0, 142)"": ""4895"", ""(152, 251, 152)"": ""297"", ""(220, 20, 60)"": ""581"", ""(244, 35, 232)"": ""3675"", ""(128, 64, 128)"": ""99175"", ""(190, 153, 153)"": ""0""}","{""(70, 130, 180)"": 0.8682542604670734, ""(0, 0, 0)"": 0.0120309385422244, ""(107, 142, 35)"": 0.4419566180413613, ""(153, 153, 153)"": 0.0, ""(70, 70, 70)"": 0.0, ""(250, 170, 30)"": 0.11263262900154167, ""(220, 220, 0)"": 0.0, ""(0, 60, 100)"": 0.0, ""(102, 102, 156)"": 0.0008301591952339096, ""(0, 0, 70)"": 0.0, ""(0, 0, 142)"": 0.0053042493593181955, ""(152, 251, 152)"": 0.029472838100341618, ""(220, 20, 60)"": 0.0, ""(244, 35, 232)"": 0.0006224496853171035, ""(128, 64, 128)"": 0.012999449866541697, ""(190, 153, 153)"": 0.0}",000016_10.png,ovseg
"{""(70, 130, 180)"": ""67525"", ""(107, 142, 35)"": ""60996"", ""(153, 153, 153)"": ""2665"", ""(0, 0, 0)"": ""3650"", ""(70, 70, 70)"": 0, ""(250, 170, 30)"": ""369"", ""(220, 220, 0)"": ""0"", ""(190, 153, 153)"": ""103"", ""(0, 60, 100)"": ""18065"", ""(0, 0, 142)"": ""915"", ""(220, 20, 60)"": ""764"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""1306"", ""(128, 64, 128)"": ""169244""}","{""(70, 130, 180)"": 0.8909839418369905, ""(107, 142, 35)"": 0.49320385209382805, ""(153, 153, 153)"": 0.04074359822183034, ""(0, 0, 0)"": 0.007240853658536586, ""(70, 70, 70)"": 0.012631427853733806, ""(250, 170, 30)"": 0.0, ""(220, 220, 0)"": 0.0, ""(190, 153, 153)"": 0.0070246570175852155, ""(0, 60, 100)"": 0.0003264240248082259, ""(0, 0, 142)"": 0.8973787680209698, ""(220, 20, 60)"": 0.003268991282689913, ""(152, 251, 152)"": 0.00019584802193497845, ""(244, 35, 232)"": 0.0006797518905599456, ""(128, 64, 128)"": 2.3303776376961886e-05}",000017_10.png,ovseg
"{""(70, 70, 70)"": ""8125"", ""(153, 153, 153)"": ""31"", ""(70, 130, 180)"": ""44159"", ""(107, 142, 35)"": ""990"", ""(0, 0, 0)"": ""88"", ""(220, 220, 0)"": ""592"", ""(190, 153, 153)"": ""38723"", ""(150, 100, 100)"": 0, ""(128, 64, 128)"": ""71949"", ""(0, 0, 70)"": 0, ""(0, 0, 142)"": ""42766"", ""(152, 251, 152)"": 0, ""(244, 35, 232)"": ""0""}","{""(70, 70, 70)"": 0.6163240537055299, ""(153, 153, 153)"": 0.05937408599005557, ""(70, 130, 180)"": 0.9172084328590716, ""(107, 142, 35)"": 0.6295362457725283, ""(0, 0, 0)"": 0.00010848340203948796, ""(220, 220, 0)"": 0.0, ""(190, 153, 153)"": 0.0, ""(150, 100, 100)"": 0.0, ""(128, 64, 128)"": 0.00048713819840056293, ""(0, 0, 70)"": 0.0004575716671623693, ""(0, 0, 142)"": 0.0, ""(152, 251, 152)"": 0.00035565914233176186, ""(244, 35, 232)"": 0.02036962635596625}",000018_10.png,ovseg
"{""(70, 70, 70)"": ""2911"", ""(107, 142, 35)"": ""110008"", ""(70, 130, 180)"": ""39379"", ""(0, 0, 0)"": ""635"", ""(153, 153, 153)"": ""0"", ""(190, 153, 153)"": ""40320"", ""(150, 100, 100)"": 0, ""(102, 102, 156)"": 0, ""(0, 0, 142)"": ""20277"", ""(0, 0, 70)"": 0, ""(128, 64, 128)"": ""81681"", ""(152, 251, 152)"": ""192"", ""(244, 35, 232)"": ""51""}","{""(70, 70, 70)"": 0.2893638170974155, ""(107, 142, 35)"": 0.010658537976225653, ""(70, 130, 180)"": 0.00042492917847025496, ""(0, 0, 0)"": 0.004612077105213463, ""(153, 153, 153)"": 0.003909001267784195, ""(190, 153, 153)"": 3.948355509930114e-05, ""(150, 100, 100)"": 2.1485508024837247e-05, ""(102, 102, 156)"": 0.0, ""(0, 0, 142)"": 0.004451227266946458, ""(0, 0, 70)"": 0.0, ""(128, 64, 128)"": 0.0048077840312887535, ""(152, 251, 152)"": 0.018716452304896443, ""(244, 35, 232)"": 0.0}",000019_10.png,ovseg
"{""(107, 142, 35)"": ""45137"", ""(70, 130, 180)"": ""39351"", ""(0, 0, 0)"": ""25"", ""(153, 153, 153)"": ""0"", ""(70, 70, 70)"": ""0"", ""(190, 153, 153)"": ""40858"", ""(150, 100, 100)"": 0, ""(220, 220, 0)"": ""0"", ""(0, 0, 142)"": ""55378"", ""(220, 20, 60)"": 0, ""(128, 64, 128)"": ""72785"", ""(152, 251, 152)"": ""1172"", ""(244, 35, 232)"": ""984""}","{""(107, 142, 35)"": 0.3642321464765894, ""(70, 130, 180)"": 0.002576766158471119, ""(0, 0, 0)"": 0.0, ""(153, 153, 153)"": 0.0, ""(70, 70, 70)"": 0.0, ""(190, 153, 153)"": 0.6465078008797747, ""(150, 100, 100)"": 0.3322281167108753, ""(220, 220, 0)"": 0.0, ""(0, 0, 142)"": 0.0, ""(220, 20, 60)"": 0.0, ""(128, 64, 128)"": 0.003867548036179294, ""(152, 251, 152)"": 0.0, ""(244, 35, 232)"": 0.0007220216606498195}",000020_10.png,ovseg
"{""(107, 142, 35)"": ""81285"", ""(70, 130, 180)"": ""3481"", ""(153, 153, 153)"": ""0"", ""(0, 0, 0)"": ""1809"", ""(150, 100, 100)"": 0, ""(70, 70, 70)"": ""1581"", ""(190, 153, 153)"": ""95238"", ""(0, 0, 142)"": ""8486"", ""(152, 251, 152)"": 0, ""(128, 64, 128)"": ""57906""}","{""(107, 142, 35)"": 0.5460279714642698, ""(70, 130, 180)"": 0.665583173996176, ""(153, 153, 153)"": 0.009878344295534346, ""(0, 0, 0)"": 0.09416666666666666, ""(150, 100, 100)"": 0.07093500937091797, ""(70, 70, 70)"": 0.0, ""(190, 153, 153)"": 0.006679748667023449, ""(0, 0, 142)"": 0.01621120889300602, ""(152, 251, 152)"": 0.0001240472482185437, ""(128, 64, 128)"": 0.002943043453170985}",000021_10.png,ovseg
"{""(107, 142, 35)"": ""91453"", ""(70, 130, 180)"": ""11983"", ""(0, 0, 0)"": ""0"", ""(250, 170, 30)"": ""617"", ""(153, 153, 153)"": ""3855"", ""(220, 220, 0)"": 0, ""(0, 0, 142)"": ""21737"", ""(102, 102, 156)"": 0, ""(190, 153, 153)"": ""1911"", ""(152, 251, 152)"": ""1099"", ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""161256"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.13100206673756445, ""(70, 130, 180)"": 2.7452918245209467e-05, ""(0, 0, 0)"": 0.06360946745562131, ""(250, 170, 30)"": 0.05278085921742638, ""(153, 153, 153)"": 0.07506838212947016, ""(220, 220, 0)"": 0.0, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0012438625204582651, ""(190, 153, 153)"": 0.0011268028846153845, ""(152, 251, 152)"": 0.0, ""(230, 150, 140)"": 0.0898482336436679, ""(128, 64, 128)"": 0.8005719221947514, ""(244, 35, 232)"": 0.0}",000022_10.png,ovseg
"{""(107, 142, 35)"": ""91755"", ""(70, 130, 180)"": ""36546"", ""(0, 0, 0)"": ""250"", ""(153, 153, 153)"": ""5071"", ""(220, 220, 0)"": ""1278"", ""(250, 170, 30)"": ""2585"", ""(0, 0, 142)"": ""20030"", ""(102, 102, 156)"": ""0"", ""(190, 153, 153)"": ""5748"", ""(152, 251, 152)"": ""0"", ""(230, 150, 140)"": 0, ""(128, 64, 128)"": ""119563"", ""(244, 35, 232)"": ""0""}","{""(107, 142, 35)"": 0.5039351483163717, ""(70, 130, 180)"": 0.7006384080059814, ""(0, 0, 0)"": 0.006345543697721373, ""(153, 153, 153)"": 0.0, ""(220, 220, 0)"": 0.0, ""(250, 170, 30)"": 0.04955527318932656, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0, ""(190, 153, 153)"": 0.0, ""(152, 251, 152)"": 0.0011532969648152893, ""(230, 150, 140)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0}",000023_10.png,ovseg
"{""(107, 142, 35)"": ""111396"", ""(70, 130, 180)"": ""53082"", ""(0, 0, 0)"": ""629"", ""(153, 153, 153)"": ""496"", ""(220, 220, 0)"": ""104"", ""(70, 70, 70)"": 0, ""(102, 102, 156)"": ""2183"", ""(0, 0, 142)"": ""29074"", ""(152, 251, 152)"": ""0"", ""(128, 64, 128)"": ""98333"", ""(244, 35, 232)"": ""813"", ""(190, 153, 153)"": ""7847"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.644514774035652, ""(70, 130, 180)"": 9.459395544624699e-05, ""(0, 0, 0)"": 0.09503814021067926, ""(153, 153, 153)"": 0.0033600413543551306, ""(220, 220, 0)"": 3.1192488848685235e-05, ""(70, 70, 70)"": 0.0, ""(102, 102, 156)"": 0.0, ""(0, 0, 142)"": 0.0, ""(152, 251, 152)"": 0.0, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0, ""(190, 153, 153)"": 0.0, ""(230, 150, 140)"": 0.00048040994982384967}",000024_10.png,ovseg
"{""(107, 142, 35)"": ""111411"", ""(70, 130, 180)"": ""37730"", ""(70, 70, 70)"": ""7003"", ""(220, 220, 0)"": ""2651"", ""(0, 0, 0)"": ""364"", ""(153, 153, 153)"": ""30"", ""(190, 153, 153)"": ""39512"", ""(0, 80, 100)"": ""0"", ""(0, 0, 142)"": ""5608"", ""(102, 102, 156)"": 0, ""(152, 251, 152)"": ""0"", ""(128, 64, 128)"": ""84372"", ""(244, 35, 232)"": ""41604"", ""(230, 150, 140)"": 0}","{""(107, 142, 35)"": 0.0610601962526446, ""(70, 130, 180)"": 0.0, ""(70, 70, 70)"": 0.008719635700228406, ""(220, 220, 0)"": 0.0, ""(0, 0, 0)"": 0.0, ""(153, 153, 153)"": 0.026243784753890966, ""(190, 153, 153)"": 0.0, ""(0, 80, 100)"": 0.019783100941484923, ""(0, 0, 142)"": 0.0, ""(102, 102, 156)"": 0.0, ""(152, 251, 152)"": 0.023446350874312454, ""(128, 64, 128)"": 0.0, ""(244, 35, 232)"": 0.0010755760213770735, ""(230, 150, 140)"": 0.0}",000025_10.png,ovseg
